        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           1 |          2.392 |          2.416 |          2.454 |          2.415 |          0.659 |          0.386 |          0.003 |
       strcpy LI-PaRAD/EMOPASS |           1 |          2.308 |          2.312 |          2.316 |          2.311 |          0.111 |          0.403 |          0.000 |      +4.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           2 |          3.077 |          3.082 |          3.086 |          3.082 |          0.068 |          0.604 |          0.000 |
       strcpy LI-PaRAD/EMOPASS |           2 |          2.308 |          2.312 |          2.329 |          2.312 |          0.147 |          0.806 |          0.001 |     +33.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           3 |          3.077 |          3.082 |          3.086 |          3.082 |          0.069 |          0.907 |          0.001 |
       strcpy LI-PaRAD/EMOPASS |           3 |          2.308 |          2.312 |          2.316 |          2.311 |          0.115 |          1.209 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.088 |          3.082 |          0.069 |          1.209 |          0.001 |
       strcpy LI-PaRAD/EMOPASS |           4 |          2.254 |          2.308 |          2.315 |          2.294 |          1.003 |          1.624 |          0.016 |     +34.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           5 |          2.692 |          2.697 |          2.701 |          2.697 |          0.087 |          1.727 |          0.002 |
       strcpy LI-PaRAD/EMOPASS |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.111 |          2.015 |          0.002 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           6 |          2.692 |          2.698 |          2.700 |          2.697 |          0.093 |          2.072 |          0.002 |
       strcpy LI-PaRAD/EMOPASS |           6 |          2.245 |          2.308 |          2.315 |          2.294 |          0.904 |          2.436 |          0.022 |     +17.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           7 |          2.692 |          2.697 |          2.701 |          2.697 |          0.087 |          2.418 |          0.002 |
       strcpy LI-PaRAD/EMOPASS |           7 |          2.308 |          2.311 |          2.318 |          2.311 |          0.119 |          2.820 |          0.003 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           8 |          2.692 |          2.698 |          2.728 |          2.697 |          0.150 |          2.763 |          0.004 |
       strcpy LI-PaRAD/EMOPASS |           8 |          2.252 |          2.308 |          2.316 |          2.291 |          1.042 |          3.253 |          0.034 |     +17.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |           9 |          2.308 |          2.459 |          2.541 |          2.447 |          1.911 |          3.427 |          0.067 |
       strcpy LI-PaRAD/EMOPASS |           9 |          2.308 |          2.311 |          2.317 |          2.312 |          0.118 |          3.626 |          0.004 |      +5.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          10 |          2.459 |          2.498 |          2.559 |          2.505 |          1.365 |          3.719 |          0.051 |
       strcpy LI-PaRAD/EMOPASS |          10 |          2.261 |          2.310 |          2.339 |          2.298 |          0.842 |          4.052 |          0.034 |      +8.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          11 |          2.460 |          2.482 |          2.557 |          2.499 |          1.337 |          4.101 |          0.054 |
       strcpy LI-PaRAD/EMOPASS |          11 |          2.308 |          2.313 |          2.348 |          2.313 |          0.248 |          4.430 |          0.011 |      +8.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          12 |          2.464 |          2.493 |          2.558 |          2.504 |          1.366 |          4.464 |          0.061 |
       strcpy LI-PaRAD/EMOPASS |          12 |          2.257 |          2.310 |          2.316 |          2.302 |          0.851 |          4.856 |          0.042 |      +8.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          13 |          2.462 |          2.508 |          2.558 |          2.508 |          1.461 |          4.828 |          0.070 |
       strcpy LI-PaRAD/EMOPASS |          13 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          5.238 |          0.006 |      +8.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          14 |          2.461 |          2.474 |          2.558 |          2.496 |          1.357 |          5.224 |          0.070 |
       strcpy LI-PaRAD/EMOPASS |          14 |          2.267 |          2.311 |          2.318 |          2.308 |          0.494 |          5.649 |          0.028 |      +8.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          15 |          2.463 |          2.516 |          2.558 |          2.510 |          1.359 |          5.566 |          0.076 |
       strcpy LI-PaRAD/EMOPASS |          15 |          2.308 |          2.311 |          2.317 |          2.312 |          0.117 |          6.044 |          0.007 |      +8.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          16 |          2.815 |          2.863 |          2.872 |          2.861 |          0.340 |          5.209 |          0.018 |
       strcpy LI-PaRAD/EMOPASS |          16 |          2.209 |          2.311 |          2.316 |          2.304 |          0.894 |          6.468 |          0.059 |     +24.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          17 |          2.890 |          2.924 |          2.941 |          2.922 |          0.415 |          5.418 |          0.023 |
       strcpy LI-PaRAD/EMOPASS |          17 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          6.850 |          0.008 |     +26.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          18 |          2.889 |          2.926 |          2.943 |          2.925 |          0.425 |          5.732 |          0.024 |
       strcpy LI-PaRAD/EMOPASS |          18 |          2.261 |          2.308 |          2.316 |          2.297 |          0.814 |          7.298 |          0.060 |     +27.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          19 |          2.776 |          2.830 |          2.845 |          2.823 |          0.608 |          6.268 |          0.038 |
       strcpy LI-PaRAD/EMOPASS |          19 |          2.308 |          2.312 |          2.316 |          2.311 |          0.112 |          7.656 |          0.009 |     +22.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          20 |          2.829 |          2.864 |          2.871 |          2.861 |          0.286 |          6.510 |          0.019 |
       strcpy LI-PaRAD/EMOPASS |          20 |          2.206 |          2.288 |          2.330 |          2.282 |          1.352 |          8.163 |          0.111 |     +25.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          21 |          2.888 |          2.923 |          2.941 |          2.922 |          0.396 |          6.692 |          0.027 |
       strcpy LI-PaRAD/EMOPASS |          21 |          2.308 |          2.312 |          2.317 |          2.311 |          0.113 |          8.461 |          0.010 |     +26.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          22 |          2.889 |          2.926 |          2.944 |          2.925 |          0.419 |          7.006 |          0.029 |
       strcpy LI-PaRAD/EMOPASS |          22 |          2.262 |          2.273 |          2.315 |          2.281 |          0.728 |          8.985 |          0.065 |     +28.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          23 |          2.775 |          2.833 |          2.842 |          2.826 |          0.574 |          7.581 |          0.044 |
       strcpy LI-PaRAD/EMOPASS |          23 |          2.308 |          2.312 |          2.316 |          2.311 |          0.113 |          9.267 |          0.011 |     +22.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          24 |          2.847 |          2.875 |          2.905 |          2.874 |          0.270 |          7.777 |          0.021 |
       strcpy LI-PaRAD/EMOPASS |          24 |          2.250 |          2.265 |          2.329 |          2.274 |          0.769 |          9.832 |          0.075 |     +26.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          25 |          2.888 |          2.923 |          2.942 |          2.923 |          0.416 |          7.967 |          0.033 |
       strcpy LI-PaRAD/EMOPASS |          25 |          2.308 |          2.311 |          2.316 |          2.311 |          0.116 |         10.073 |          0.012 |     +26.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          26 |          2.848 |          2.875 |          2.891 |          2.873 |          0.268 |          8.428 |          0.023 |
       strcpy LI-PaRAD/EMOPASS |          26 |          2.308 |          2.312 |          2.317 |          2.312 |          0.118 |         10.475 |          0.012 |     +24.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy GNU libc 2.39 |          27 |          2.845 |          2.902 |          2.917 |          2.896 |          0.583 |          8.682 |          0.051 |
