        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           1 |          5.976 |          6.202 |          6.359 |          6.179 |          1.339 |          0.151 |          0.002
          strcpy GNU libc 2.39 |           1 |          2.392 |          2.416 |          2.454 |          2.415 |          0.659 |          0.386 |          0.003
       strcpy LI-PaRAD/EMOPASS |           1 |          2.308 |          2.312 |          2.316 |          2.311 |          0.111 |          0.403 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           2 |          5.904 |          6.196 |          6.436 |          6.171 |          1.659 |          0.302 |          0.005
          strcpy GNU libc 2.39 |           2 |          3.077 |          3.082 |          3.086 |          3.082 |          0.068 |          0.604 |          0.000
       strcpy LI-PaRAD/EMOPASS |           2 |          2.308 |          2.312 |          2.329 |          2.312 |          0.147 |          0.806 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           3 |          5.906 |          6.188 |          6.428 |          6.160 |          1.507 |          0.454 |          0.007
          strcpy GNU libc 2.39 |           3 |          3.077 |          3.082 |          3.086 |          3.082 |          0.069 |          0.907 |          0.001
       strcpy LI-PaRAD/EMOPASS |           3 |          2.308 |          2.312 |          2.316 |          2.311 |          0.115 |          1.209 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           4 |          5.922 |          6.208 |          6.404 |          6.173 |          1.502 |          0.604 |          0.009
          strcpy GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.088 |          3.082 |          0.069 |          1.209 |          0.001
       strcpy LI-PaRAD/EMOPASS |           4 |          2.254 |          2.308 |          2.315 |          2.294 |          1.003 |          1.624 |          0.016
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           5 |          5.977 |          6.217 |          6.378 |          6.197 |          1.193 |          0.752 |          0.009
          strcpy GNU libc 2.39 |           5 |          2.692 |          2.697 |          2.701 |          2.697 |          0.087 |          1.727 |          0.002
       strcpy LI-PaRAD/EMOPASS |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.111 |          2.015 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           6 |          5.908 |          6.178 |          6.378 |          6.152 |          1.671 |          0.909 |          0.015
          strcpy GNU libc 2.39 |           6 |          2.692 |          2.698 |          2.700 |          2.697 |          0.093 |          2.072 |          0.002
       strcpy LI-PaRAD/EMOPASS |           6 |          2.245 |          2.308 |          2.315 |          2.294 |          0.904 |          2.436 |          0.022
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           7 |          5.934 |          6.174 |          6.312 |          6.151 |          1.466 |          1.060 |          0.016
          strcpy GNU libc 2.39 |           7 |          2.692 |          2.697 |          2.701 |          2.697 |          0.087 |          2.418 |          0.002
       strcpy LI-PaRAD/EMOPASS |           7 |          2.308 |          2.311 |          2.318 |          2.311 |          0.119 |          2.820 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           8 |          5.904 |          6.180 |          6.377 |          6.164 |          1.504 |          1.209 |          0.018
          strcpy GNU libc 2.39 |           8 |          2.692 |          2.698 |          2.728 |          2.697 |          0.150 |          2.763 |          0.004
       strcpy LI-PaRAD/EMOPASS |           8 |          2.252 |          2.308 |          2.316 |          2.291 |          1.042 |          3.253 |          0.034
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           9 |          5.903 |          6.192 |          6.401 |          6.170 |          1.519 |          1.359 |          0.021
          strcpy GNU libc 2.39 |           9 |          2.308 |          2.459 |          2.541 |          2.447 |          1.911 |          3.427 |          0.067
       strcpy LI-PaRAD/EMOPASS |           9 |          2.308 |          2.311 |          2.317 |          2.312 |          0.118 |          3.626 |          0.004
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          10 |          5.952 |          6.218 |          6.413 |          6.203 |          1.240 |          1.502 |          0.019
          strcpy GNU libc 2.39 |          10 |          2.459 |          2.498 |          2.559 |          2.505 |          1.365 |          3.719 |          0.051
       strcpy LI-PaRAD/EMOPASS |          10 |          2.261 |          2.310 |          2.339 |          2.298 |          0.842 |          4.052 |          0.034
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          11 |          5.960 |          6.197 |          6.403 |          6.180 |          1.460 |          1.658 |          0.024
          strcpy GNU libc 2.39 |          11 |          2.460 |          2.482 |          2.557 |          2.499 |          1.337 |          4.101 |          0.054
       strcpy LI-PaRAD/EMOPASS |          11 |          2.308 |          2.313 |          2.348 |          2.313 |          0.248 |          4.430 |          0.011
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          12 |          5.920 |          6.211 |          6.405 |          6.186 |          1.431 |          1.807 |          0.026
          strcpy GNU libc 2.39 |          12 |          2.464 |          2.493 |          2.558 |          2.504 |          1.366 |          4.464 |          0.061
       strcpy LI-PaRAD/EMOPASS |          12 |          2.257 |          2.310 |          2.316 |          2.302 |          0.851 |          4.856 |          0.042
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          13 |          5.902 |          6.204 |          6.383 |          6.175 |          1.467 |          1.961 |          0.029
          strcpy GNU libc 2.39 |          13 |          2.462 |          2.508 |          2.558 |          2.508 |          1.461 |          4.828 |          0.070
