        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           1 |          2.089 |          2.100 |          2.116 |          2.099 |          0.247 |          0.444 |          0.001 |
       strlen LI-PaRAD/EMOPASS |           1 |          2.308 |          2.312 |          2.316 |          2.311 |          0.108 |          0.403 |          0.000 |      -9.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           2 |          2.692 |          2.697 |          2.701 |          2.696 |          0.088 |          0.691 |          0.001 |
       strlen LI-PaRAD/EMOPASS |           2 |          2.308 |          2.312 |          2.316 |          2.311 |          0.114 |          0.806 |          0.001 |     +16.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           3 |          2.692 |          2.697 |          2.701 |          2.697 |          0.088 |          1.036 |          0.001 |
       strlen LI-PaRAD/EMOPASS |           3 |          2.308 |          2.312 |          2.461 |          2.320 |          1.148 |          1.204 |          0.013 |     +16.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           4 |          2.692 |          2.697 |          2.701 |          2.697 |          0.092 |          1.381 |          0.001 |
       strlen LI-PaRAD/EMOPASS |           4 |          2.308 |          2.311 |          2.416 |          2.314 |          0.679 |          1.610 |          0.011 |     +16.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           5 |          2.692 |          2.697 |          2.705 |          2.696 |          0.088 |          1.727 |          0.002 |
       strlen LI-PaRAD/EMOPASS |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.108 |          2.015 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           6 |          2.692 |          2.697 |          2.701 |          2.696 |          0.086 |          2.072 |          0.002 |
       strlen LI-PaRAD/EMOPASS |           6 |          2.308 |          2.312 |          2.462 |          2.317 |          1.063 |          2.412 |          0.024 |     +16.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           7 |          2.692 |          2.697 |          2.701 |          2.697 |          0.087 |          2.418 |          0.002 |
       strlen LI-PaRAD/EMOPASS |           7 |          2.308 |          2.312 |          2.317 |          2.311 |          0.113 |          2.821 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           8 |          2.692 |          2.697 |          2.701 |          2.697 |          0.088 |          2.763 |          0.002 |
       strlen LI-PaRAD/EMOPASS |           8 |          2.308 |          2.312 |          2.330 |          2.311 |          0.139 |          3.223 |          0.004 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |           9 |          2.692 |          2.697 |          2.703 |          2.697 |          0.093 |          3.108 |          0.003 |
       strlen LI-PaRAD/EMOPASS |           9 |          2.308 |          2.312 |          2.356 |          2.312 |          0.223 |          3.626 |          0.008 |     +16.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          10 |          2.692 |          2.697 |          2.701 |          2.697 |          0.088 |          3.454 |          0.003 |
       strlen LI-PaRAD/EMOPASS |          10 |          2.308 |          2.311 |          2.320 |          2.311 |          0.114 |          4.029 |          0.005 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          11 |          2.692 |          2.697 |          2.701 |          2.696 |          0.088 |          3.799 |          0.003 |
       strlen LI-PaRAD/EMOPASS |          11 |          2.308 |          2.312 |          2.461 |          2.319 |          1.222 |          4.417 |          0.052 |     +16.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          12 |          2.692 |          2.697 |          2.700 |          2.696 |          0.083 |          4.145 |          0.003 |
       strlen LI-PaRAD/EMOPASS |          12 |          2.308 |          2.311 |          2.397 |          2.314 |          0.567 |          4.829 |          0.027 |     +16.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          13 |          2.692 |          2.697 |          2.702 |          2.697 |          0.099 |          4.490 |          0.004 |
       strlen LI-PaRAD/EMOPASS |          13 |          2.308 |          2.312 |          2.316 |          2.311 |          0.109 |          5.238 |          0.006 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          14 |          2.692 |          2.697 |          2.701 |          2.696 |          0.085 |          4.835 |          0.004 |
       strlen LI-PaRAD/EMOPASS |          14 |          2.308 |          2.312 |          2.457 |          2.317 |          1.067 |          5.627 |          0.057 |     +16.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          15 |          2.692 |          2.697 |          2.700 |          2.696 |          0.082 |          5.181 |          0.004 |
       strlen LI-PaRAD/EMOPASS |          15 |          2.308 |          2.311 |          2.316 |          2.311 |          0.108 |          6.045 |          0.007 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          16 |          3.077 |          3.082 |          3.093 |          3.082 |          0.075 |          4.835 |          0.004 |
       strlen LI-PaRAD/EMOPASS |          16 |          2.308 |          2.311 |          2.316 |          2.311 |          0.108 |          6.447 |          0.007 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strlen GNU libc 2.39 |          17 |          3.077 |          3.082 |          3.086 |          3.082 |          0.064 |          5.138 |          0.003 |
