  ROUTINE IMPLEMENTATION |    BUF SIZE |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |    32.0 KiB |           2503 |           2505 |           2649 |       2513.297 |          1.057 |         12.144 |          0.123 |
        New `strlen_sve` |    32.0 KiB |           2369 |           2369 |           2384 |       2371.893 |          0.164 |         12.866 |          0.021 |      +5.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |    64.0 KiB |           5192 |           5250 |           5405 |       5251.020 |          0.734 |         11.624 |          0.084 |
        New `strlen_sve` |    64.0 KiB |           4729 |           4730 |           4771 |       4735.054 |          0.274 |         12.890 |          0.035 |     +10.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |   512.0 KiB |          41281 |          41394 |          41930 |      41400.650 |          0.285 |         11.794 |          0.033 |
        New `strlen_sve` |   512.0 KiB |          35165 |          35238 |          35322 |      35223.131 |          0.152 |         13.863 |          0.021 |     +17.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |     1.0 MiB |          82367 |          82647 |          83669 |      82778.355 |          0.412 |         11.798 |          0.048 |
        New `strlen_sve` |     1.0 MiB |          70158 |          70208 |          71280 |      70361.003 |          0.460 |         13.880 |          0.063 |     +17.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |    16.0 MiB |        1326963 |        1336712 |        1353626 |    1338069.548 |          0.520 |         11.678 |          0.061 |
        New `strlen_sve` |    16.0 MiB |        1133009 |        1151730 |        1173309 |    1149743.006 |          0.932 |         13.591 |          0.126 |     +16.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |    32.0 MiB |        2643072 |        2666254 |        2692425 |    2667073.258 |          0.458 |         11.717 |          0.054 |
        New `strlen_sve` |    32.0 MiB |        2284327 |        2317308 |        2393215 |    2320616.806 |          1.198 |         13.468 |          0.160 |     +14.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strlen_sve` |   256.0 MiB |       21501676 |       21698102 |       21888185 |   21715298.903 |          0.456 |         11.513 |          0.052 |
        New `strlen_sve` |   256.0 MiB |       18494783 |       18925324 |       19400908 |   18901304.032 |          1.469 |         13.229 |          0.194 |     +14.89%
