        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           1 |          6.564 |          6.953 |          7.211 |          6.924 |          2.420 |          0.135 |          0.003
         strncmp GNU libc 2.39 |           1 |          2.949 |          2.956 |          2.978 |          2.956 |          0.119 |          0.315 |          0.000
      strncmp LI-PaRAD/EMOPASS |           1 |          4.235 |          4.237 |          4.243 |          4.238 |          0.031 |          0.220 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           2 |          6.565 |          6.964 |          7.224 |          6.951 |          2.409 |          0.268 |          0.007
         strncmp GNU libc 2.39 |           2 |          2.952 |          2.959 |          2.967 |          2.958 |          0.085 |          0.630 |          0.001
      strncmp LI-PaRAD/EMOPASS |           2 |          4.236 |          4.237 |          4.248 |          4.238 |          0.038 |          0.440 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           3 |          6.664 |          6.844 |          6.936 |          6.842 |          1.105 |          0.408 |          0.005
         strncmp GNU libc 2.39 |           3 |          2.946 |          2.952 |          2.955 |          2.951 |          0.076 |          0.947 |          0.001
      strncmp LI-PaRAD/EMOPASS |           3 |          4.236 |          4.237 |          4.475 |          4.248 |          0.889 |          0.658 |          0.006
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           4 |          6.612 |          6.960 |          7.222 |          6.944 |          2.402 |          0.537 |          0.013
         strncmp GNU libc 2.39 |           4 |          2.949 |          2.955 |          2.958 |          2.955 |          0.074 |          1.261 |          0.001
      strncmp LI-PaRAD/EMOPASS |           4 |          4.236 |          4.237 |          4.243 |          4.238 |          0.032 |          0.879 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           5 |          6.643 |          6.875 |          6.936 |          6.846 |          1.146 |          0.680 |          0.008
         strncmp GNU libc 2.39 |           5 |          2.947 |          2.953 |          2.962 |          2.953 |          0.087 |          1.577 |          0.001
      strncmp LI-PaRAD/EMOPASS |           5 |          4.236 |          4.237 |          4.505 |          4.257 |          1.281 |          1.094 |          0.013
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           6 |          6.544 |          7.026 |          7.226 |          6.980 |          2.583 |          0.801 |          0.021
         strncmp GNU libc 2.39 |           6 |          2.952 |          2.958 |          2.973 |          2.958 |          0.089 |          1.889 |          0.002
      strncmp LI-PaRAD/EMOPASS |           6 |          4.236 |          4.237 |          4.242 |          4.238 |          0.031 |          1.319 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           7 |          6.647 |          6.851 |          6.936 |          6.834 |          1.233 |          0.954 |          0.012
         strncmp GNU libc 2.39 |           7 |          2.946 |          2.952 |          2.955 |          2.951 |          0.080 |          2.209 |          0.002
      strncmp LI-PaRAD/EMOPASS |           7 |          4.236 |          4.237 |          4.508 |          4.255 |          1.297 |          1.532 |          0.019
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           8 |          6.600 |          6.889 |          7.224 |          6.918 |          2.500 |          1.078 |          0.027
         strncmp GNU libc 2.39 |           8 |          2.949 |          2.955 |          2.959 |          2.955 |          0.075 |          2.522 |          0.002
      strncmp LI-PaRAD/EMOPASS |           8 |          4.236 |          4.237 |          4.242 |          4.237 |          0.031 |          1.758 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |           9 |          6.663 |          6.872 |          6.938 |          6.851 |          1.041 |          1.224 |          0.013
         strncmp GNU libc 2.39 |           9 |          3.859 |          3.894 |          3.955 |          3.893 |          0.234 |          2.153 |          0.005
      strncmp LI-PaRAD/EMOPASS |           9 |          4.236 |          4.237 |          4.601 |          4.260 |          1.593 |          1.968 |          0.030
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |          10 |          6.566 |          6.935 |          7.223 |          6.931 |          2.475 |          1.345 |          0.033
         strncmp GNU libc 2.39 |          10 |          3.868 |          3.920 |          3.926 |          3.918 |          0.191 |          2.377 |          0.005
      strncmp LI-PaRAD/EMOPASS |          10 |          4.236 |          4.237 |          4.246 |          4.237 |          0.036 |          2.198 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strncmp Arm optimized-routines |          11 |          6.648 |          6.830 |          6.937 |          6.828 |          1.072 |          1.501 |          0.016
         strncmp GNU libc 2.39 |          11 |          3.864 |          3.895 |          3.898 |          3.893 |          0.148 |          2.632 |          0.004
      strncmp LI-PaRAD/EMOPASS |          11 |          4.236 |          4.237 |          4.608 |          4.251 |          1.204 |          2.410 |          0.027
