        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           1 |          4.692 |          4.744 |          4.766 |          4.744 |          0.173 |          0.196 |          0.000 |
      strncpy LI-PaRAD/EMOPASS |           1 |          2.308 |          2.312 |          2.320 |          2.312 |          0.131 |          0.403 |          0.001 |    +105.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           2 |          4.690 |          4.699 |          4.719 |          4.699 |          0.092 |          0.396 |          0.000 |
      strncpy LI-PaRAD/EMOPASS |           2 |          2.308 |          2.311 |          2.316 |          2.311 |          0.113 |          0.806 |          0.001 |    +103.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           3 |          4.714 |          4.731 |          4.741 |          4.731 |          0.113 |          0.591 |          0.001 |
      strncpy LI-PaRAD/EMOPASS |           3 |          2.308 |          2.312 |          2.321 |          2.312 |          0.128 |          1.209 |          0.002 |    +104.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           4 |          4.621 |          4.623 |          4.628 |          4.623 |          0.041 |          0.806 |          0.000 |
      strncpy LI-PaRAD/EMOPASS |           4 |          2.308 |          2.312 |          2.319 |          2.312 |          0.124 |          1.611 |          0.002 |     +99.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           5 |          4.621 |          4.623 |          4.627 |          4.623 |          0.038 |          1.007 |          0.000 |
      strncpy LI-PaRAD/EMOPASS |           5 |          2.308 |          2.312 |          2.317 |          2.311 |          0.115 |          2.015 |          0.002 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           6 |          4.621 |          4.623 |          4.650 |          4.623 |          0.069 |          1.209 |          0.001 |
      strncpy LI-PaRAD/EMOPASS |           6 |          2.308 |          2.312 |          2.315 |          2.311 |          0.111 |          2.418 |          0.003 |    +100.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           7 |          4.621 |          4.623 |          4.628 |          4.623 |          0.037 |          1.410 |          0.001 |
      strncpy LI-PaRAD/EMOPASS |           7 |          2.308 |          2.312 |          2.318 |          2.312 |          0.123 |          2.820 |          0.003 |     +99.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           8 |          4.324 |          4.377 |          4.459 |          4.380 |          0.598 |          1.701 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |           8 |          2.308 |          2.312 |          2.318 |          2.312 |          0.128 |          3.223 |          0.004 |     +89.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |           9 |          4.317 |          4.356 |          4.399 |          4.357 |          0.462 |          1.924 |          0.009 |
      strncpy LI-PaRAD/EMOPASS |           9 |          2.308 |          2.312 |          2.317 |          2.311 |          0.117 |          3.626 |          0.004 |     +88.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          10 |          4.310 |          4.355 |          4.397 |          4.356 |          0.490 |          2.138 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          10 |          2.308 |          2.311 |          2.323 |          2.311 |          0.122 |          4.029 |          0.005 |     +88.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          11 |          4.325 |          4.368 |          4.411 |          4.368 |          0.514 |          2.345 |          0.012 |
      strncpy LI-PaRAD/EMOPASS |          11 |          2.308 |          2.312 |          2.318 |          2.312 |          0.119 |          4.432 |          0.005 |     +88.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          12 |          4.329 |          4.372 |          4.417 |          4.373 |          0.523 |          2.556 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          12 |          2.308 |          2.312 |          2.321 |          2.312 |          0.122 |          4.834 |          0.006 |     +89.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          13 |          4.308 |          4.353 |          4.396 |          4.353 |          0.449 |          2.781 |          0.012 |
      strncpy LI-PaRAD/EMOPASS |          13 |          2.308 |          2.311 |          2.318 |          2.311 |          0.117 |          5.238 |          0.006 |     +88.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          14 |          4.313 |          4.358 |          4.455 |          4.361 |          0.614 |          2.990 |          0.018 |
      strncpy LI-PaRAD/EMOPASS |          14 |          2.308 |          2.311 |          2.319 |          2.311 |          0.113 |          5.641 |          0.006 |     +88.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          15 |          4.317 |          4.367 |          4.413 |          4.368 |          0.528 |          3.198 |          0.017 |
      strncpy LI-PaRAD/EMOPASS |          15 |          2.308 |          2.312 |          2.321 |          2.312 |          0.129 |          6.042 |          0.008 |     +88.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          16 |          4.144 |          4.213 |          4.235 |          4.211 |          0.319 |          3.539 |          0.011 |
      strncpy LI-PaRAD/EMOPASS |          16 |          2.309 |          2.360 |          2.426 |          2.358 |          0.631 |          6.320 |          0.040 |     +78.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          17 |          5.633 |          5.692 |          5.730 |          5.691 |          0.414 |          2.782 |          0.012 |
      strncpy LI-PaRAD/EMOPASS |          17 |          2.308 |          2.312 |          2.318 |          2.312 |          0.118 |          6.849 |          0.008 |    +146.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          18 |          5.631 |          5.671 |          5.706 |          5.668 |          0.345 |          2.958 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          18 |          2.308 |          2.312 |          2.316 |          2.311 |          0.113 |          7.252 |          0.008 |    +145.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          19 |          5.646 |          5.715 |          5.754 |          5.712 |          0.419 |          3.098 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          19 |          2.308 |          2.312 |          2.321 |          2.312 |          0.131 |          7.654 |          0.010 |    +147.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          20 |          5.486 |          5.524 |          5.546 |          5.518 |          0.326 |          3.376 |          0.011 |
      strncpy LI-PaRAD/EMOPASS |          20 |          2.308 |          2.313 |          2.334 |          2.312 |          0.159 |          8.055 |          0.013 |    +138.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          21 |          5.629 |          5.673 |          5.726 |          5.669 |          0.368 |          3.450 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          21 |          2.308 |          2.312 |          2.348 |          2.312 |          0.194 |          8.460 |          0.016 |    +145.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          22 |          5.630 |          5.686 |          5.733 |          5.686 |          0.453 |          3.604 |          0.016 |
      strncpy LI-PaRAD/EMOPASS |          22 |          2.308 |          2.312 |          2.316 |          2.312 |          0.113 |          8.864 |          0.010 |    +145.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          23 |          5.644 |          5.700 |          5.742 |          5.698 |          0.466 |          3.760 |          0.018 |
      strncpy LI-PaRAD/EMOPASS |          23 |          2.308 |          2.312 |          2.322 |          2.312 |          0.130 |          9.266 |          0.012 |    +146.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          24 |          5.481 |          5.522 |          5.547 |          5.518 |          0.327 |          4.051 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          24 |          2.308 |          2.312 |          2.320 |          2.312 |          0.133 |          9.668 |          0.013 |    +138.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          25 |          5.649 |          5.700 |          5.733 |          5.697 |          0.361 |          4.087 |          0.015 |
      strncpy LI-PaRAD/EMOPASS |          25 |          2.308 |          2.311 |          2.319 |          2.312 |          0.116 |         10.073 |          0.012 |    +146.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          26 |          5.646 |          5.708 |          5.752 |          5.706 |          0.464 |          4.244 |          0.020 |
      strncpy LI-PaRAD/EMOPASS |          26 |          2.308 |          2.312 |          2.322 |          2.312 |          0.139 |         10.472 |          0.014 |    +146.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          27 |          5.632 |          5.681 |          5.730 |          5.680 |          0.416 |          4.427 |          0.018 |
      strncpy LI-PaRAD/EMOPASS |          27 |          2.308 |          2.312 |          2.317 |          2.311 |          0.114 |         10.879 |          0.012 |    +145.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          28 |          5.486 |          5.522 |          5.546 |          5.518 |          0.329 |          4.726 |          0.016 |
      strncpy LI-PaRAD/EMOPASS |          28 |          2.308 |          2.312 |          2.318 |          2.312 |          0.123 |         11.280 |          0.014 |    +138.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          29 |          5.642 |          5.693 |          5.740 |          5.691 |          0.465 |          4.746 |          0.022 |
      strncpy LI-PaRAD/EMOPASS |          29 |          2.308 |          2.311 |          2.317 |          2.311 |          0.112 |         11.685 |          0.013 |    +146.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          30 |          5.649 |          5.707 |          5.752 |          5.708 |          0.417 |          4.895 |          0.020 |
      strncpy LI-PaRAD/EMOPASS |          30 |          2.308 |          2.312 |          2.318 |          2.312 |          0.124 |         12.086 |          0.015 |    +146.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          31 |          5.635 |          5.688 |          5.730 |          5.687 |          0.428 |          5.077 |          0.022 |
      strncpy LI-PaRAD/EMOPASS |          31 |          2.308 |          2.312 |          2.464 |          2.313 |          0.668 |         12.481 |          0.079 |    +145.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          32 |          5.484 |          5.523 |          5.546 |          5.518 |          0.319 |          5.401 |          0.017 |
      strncpy LI-PaRAD/EMOPASS |          32 |          2.883 |          2.958 |          2.991 |          2.949 |          1.016 |         10.107 |          0.103 |     +87.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          33 |          6.732 |          6.768 |          6.802 |          6.766 |          0.211 |          4.543 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          33 |          4.380 |          4.382 |          4.390 |          4.383 |          0.054 |          7.012 |          0.004 |     +54.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          34 |          6.757 |          6.790 |          6.833 |          6.788 |          0.228 |          4.665 |          0.011 |
      strncpy LI-PaRAD/EMOPASS |          34 |          4.380 |          4.383 |          4.387 |          4.383 |          0.035 |          7.225 |          0.003 |     +54.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          35 |          6.731 |          6.767 |          6.796 |          6.765 |          0.211 |          4.818 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          35 |          4.381 |          4.387 |          4.392 |          4.387 |          0.047 |          7.431 |          0.004 |     +54.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          36 |          6.343 |          6.382 |          6.411 |          6.380 |          0.224 |          5.255 |          0.012 |
      strncpy LI-PaRAD/EMOPASS |          36 |          4.313 |          4.359 |          4.386 |          4.355 |          0.584 |          7.699 |          0.045 |     +46.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          37 |          6.735 |          6.768 |          6.806 |          6.766 |          0.197 |          5.093 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          37 |          4.381 |          4.386 |          4.392 |          4.387 |          0.043 |          7.855 |          0.003 |     +54.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          38 |          6.739 |          6.792 |          6.818 |          6.790 |          0.233 |          5.212 |          0.012 |
      strncpy LI-PaRAD/EMOPASS |          38 |          4.380 |          4.383 |          4.405 |          4.383 |          0.062 |          8.074 |          0.005 |     +54.90%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          39 |          6.771 |          6.807 |          6.864 |          6.806 |          0.249 |          5.337 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          39 |          4.384 |          4.387 |          4.391 |          4.387 |          0.035 |          8.280 |          0.003 |     +55.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          40 |          6.379 |          6.415 |          6.443 |          6.414 |          0.229 |          5.808 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          40 |          4.313 |          4.382 |          4.387 |          4.374 |          0.414 |          8.517 |          0.036 |     +46.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          41 |          6.803 |          6.837 |          6.876 |          6.838 |          0.228 |          5.584 |          0.013 |
      strncpy LI-PaRAD/EMOPASS |          41 |          4.381 |          4.383 |          4.391 |          4.383 |          0.040 |          8.712 |          0.003 |     +56.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          42 |          6.825 |          6.856 |          6.887 |          6.854 |          0.182 |          5.707 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          42 |          4.381 |          4.391 |          4.405 |          4.392 |          0.133 |          8.906 |          0.012 |     +56.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          43 |          6.752 |          6.786 |          6.813 |          6.786 |          0.178 |          5.901 |          0.010 |
      strncpy LI-PaRAD/EMOPASS |          43 |          4.381 |          4.387 |          4.412 |          4.387 |          0.072 |          9.128 |          0.007 |     +54.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          44 |          6.381 |          6.419 |          6.455 |          6.419 |          0.233 |          6.384 |          0.015 |
      strncpy LI-PaRAD/EMOPASS |          44 |          4.316 |          4.382 |          4.387 |          4.380 |          0.247 |          9.355 |          0.023 |     +46.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          45 |          6.795 |          6.835 |          6.875 |          6.835 |          0.248 |          6.131 |          0.015 |
      strncpy LI-PaRAD/EMOPASS |          45 |          4.381 |          4.383 |          4.387 |          4.383 |          0.036 |          9.562 |          0.003 |     +55.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          46 |          6.749 |          6.788 |          6.815 |          6.787 |          0.185 |          6.312 |          0.012 |
      strncpy LI-PaRAD/EMOPASS |          46 |          4.385 |          4.387 |          4.393 |          4.387 |          0.041 |          9.765 |          0.004 |     +54.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          47 |          6.760 |          6.789 |          6.814 |          6.786 |          0.176 |          6.450 |          0.011 |
      strncpy LI-PaRAD/EMOPASS |          47 |          4.381 |          4.387 |          4.393 |          4.387 |          0.050 |          9.978 |          0.005 |     +54.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          48 |          6.388 |          6.440 |          6.488 |          6.441 |          0.341 |          6.940 |          0.024 |
      strncpy LI-PaRAD/EMOPASS |          48 |          4.381 |          4.382 |          4.387 |          4.383 |          0.038 |         10.200 |          0.004 |     +46.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          49 |          7.193 |          7.259 |          7.310 |          7.259 |          0.356 |          6.287 |          0.022 |
      strncpy LI-PaRAD/EMOPASS |          49 |          4.381 |          4.383 |          4.387 |          4.383 |          0.037 |         10.412 |          0.004 |     +65.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          50 |          7.158 |          7.219 |          7.270 |          7.219 |          0.306 |          6.451 |          0.020 |
      strncpy LI-PaRAD/EMOPASS |          50 |          4.380 |          4.386 |          4.412 |          4.387 |          0.072 |         10.615 |          0.008 |     +64.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          51 |          7.159 |          7.223 |          7.270 |          7.223 |          0.318 |          6.576 |          0.021 |
      strncpy LI-PaRAD/EMOPASS |          51 |          4.381 |          4.387 |          4.394 |          4.387 |          0.045 |         10.827 |          0.005 |     +64.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          52 |          6.875 |          6.924 |          6.954 |          6.922 |          0.215 |          6.997 |          0.015 |
      strncpy LI-PaRAD/EMOPASS |          52 |          4.312 |          4.380 |          4.386 |          4.357 |          0.741 |         11.117 |          0.083 |     +58.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          53 |          7.184 |          7.258 |          7.317 |          7.257 |          0.364 |          6.802 |          0.025 |
      strncpy LI-PaRAD/EMOPASS |          53 |          4.381 |          4.383 |          4.387 |          4.383 |          0.034 |         11.262 |          0.004 |     +65.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          54 |          7.137 |          7.187 |          7.227 |          7.184 |          0.288 |          7.000 |          0.020 |
      strncpy LI-PaRAD/EMOPASS |          54 |          4.384 |          4.385 |          4.389 |          4.386 |          0.035 |         11.468 |          0.004 |     +63.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          55 |          7.174 |          7.230 |          7.261 |          7.225 |          0.296 |          7.090 |          0.021 |
      strncpy LI-PaRAD/EMOPASS |          55 |          4.380 |          4.386 |          4.392 |          4.387 |          0.047 |         11.677 |          0.005 |     +64.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strncpy GNU libc 2.39 |          56 |          6.896 |          6.948 |          7.019 |          6.948 |          0.321 |          7.507 |          0.024 |
      strncpy LI-PaRAD/EMOPASS |          56 |          4.379 |          4.382 |          4.389 |          4.382 |          0.043 |         11.902 |          0.005 |     +58.55%
