        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strnlen Arm optimized-routines |           1 |          5.775 |          6.214 |          6.551 |          6.215 |          3.697 |          0.150 |          0.006
         strnlen GNU libc 2.39 |           1 |          2.041 |          2.060 |          2.101 |          2.057 |          0.498 |          0.453 |          0.002
      strnlen LI-PaRAD/EMOPASS |           1 |          2.817 |          2.919 |          2.930 |          2.907 |          0.908 |          0.320 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strnlen Arm optimized-routines |           2 |          5.778 |          6.369 |          6.552 |          6.290 |          3.652 |          0.297 |          0.011
         strnlen GNU libc 2.39 |           2 |          2.039 |          2.056 |          2.072 |          2.053 |          0.523 |          0.907 |          0.005
      strnlen LI-PaRAD/EMOPASS |           2 |          2.859 |          2.926 |          2.935 |          2.923 |          0.405 |          0.637 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strnlen Arm optimized-routines |           3 |          5.776 |          6.326 |          6.551 |          6.260 |          3.535 |          0.447 |          0.016
         strnlen GNU libc 2.39 |           3 |          2.040 |          2.695 |          2.701 |          2.447 |         12.787 |          1.162 |          0.158
      strnlen LI-PaRAD/EMOPASS |           3 |          2.705 |          2.909 |          2.913 |          2.900 |          1.004 |          0.963 |          0.010
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strnlen Arm optimized-routines |           4 |          5.775 |          6.259 |          6.551 |          6.233 |          3.642 |          0.598 |          0.022
         strnlen GNU libc 2.39 |           4 |          2.040 |          2.059 |          2.696 |          2.071 |          4.438 |          1.802 |          0.063
      strnlen LI-PaRAD/EMOPASS |           4 |          2.827 |          2.906 |          2.917 |          2.896 |          0.721 |          1.286 |          0.009
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strnlen Arm optimized-routines |           5 |          5.775 |          6.249 |          6.574 |          6.227 |          3.692 |          0.749 |          0.028
         strnlen GNU libc 2.39 |           5 |          2.039 |          2.058 |          2.698 |          2.075 |          5.390 |          2.250 |          0.095
