        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           1 |          7.181 |          7.557 |          7.914 |          7.546 |          2.352 |          0.123 |          0.003 |
      strrchr LI-PaRAD/EMOPASS |           1 |          5.389 |          5.393 |          5.399 |          5.393 |          0.043 |          0.173 |          0.000 |     +39.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           2 |          7.202 |          7.592 |          7.904 |          7.596 |          2.669 |          0.245 |          0.007 |
      strrchr LI-PaRAD/EMOPASS |           2 |          5.390 |          5.393 |          5.400 |          5.393 |          0.047 |          0.345 |          0.000 |     +40.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           3 |          7.212 |          7.572 |          7.898 |          7.569 |          2.492 |          0.369 |          0.009 |
      strrchr LI-PaRAD/EMOPASS |           3 |          5.389 |          5.393 |          5.408 |          5.393 |          0.054 |          0.518 |          0.000 |     +40.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           4 |          7.183 |          7.580 |          7.897 |          7.587 |          2.300 |          0.491 |          0.011 |
      strrchr LI-PaRAD/EMOPASS |           4 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          0.691 |          0.000 |     +40.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           5 |          7.199 |          7.568 |          7.898 |          7.580 |          2.420 |          0.615 |          0.015 |
      strrchr LI-PaRAD/EMOPASS |           5 |          5.390 |          5.393 |          5.401 |          5.393 |          0.048 |          0.863 |          0.000 |     +40.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           6 |          7.195 |          7.584 |          7.897 |          7.579 |          2.493 |          0.738 |          0.018 |
      strrchr LI-PaRAD/EMOPASS |           6 |          5.389 |          5.393 |          5.398 |          5.393 |          0.045 |          1.036 |          0.000 |     +40.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           7 |          7.226 |          7.611 |          7.897 |          7.620 |          2.303 |          0.856 |          0.020 |
      strrchr LI-PaRAD/EMOPASS |           7 |          5.390 |          5.393 |          5.399 |          5.393 |          0.048 |          1.209 |          0.001 |     +41.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           8 |          7.252 |          7.598 |          7.897 |          7.574 |          2.353 |          0.984 |          0.023 |
      strrchr LI-PaRAD/EMOPASS |           8 |          5.390 |          5.393 |          5.401 |          5.393 |          0.047 |          1.381 |          0.001 |     +40.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           9 |          7.123 |          7.565 |          7.898 |          7.546 |          2.366 |          1.111 |          0.026 |
      strrchr LI-PaRAD/EMOPASS |           9 |          5.390 |          5.393 |          5.399 |          5.393 |          0.044 |          1.554 |          0.001 |     +39.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          10 |          7.271 |          7.596 |          7.954 |          7.598 |          2.320 |          1.226 |          0.028 |
      strrchr LI-PaRAD/EMOPASS |          10 |          5.390 |          5.393 |          5.399 |          5.393 |          0.045 |          1.727 |          0.001 |     +40.87%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          11 |          7.196 |          7.591 |          7.898 |          7.581 |          2.461 |          1.352 |          0.033 |
      strrchr LI-PaRAD/EMOPASS |          11 |          5.389 |          5.393 |          5.400 |          5.393 |          0.043 |          1.900 |          0.001 |     +40.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          12 |          7.283 |          7.649 |          7.899 |          7.649 |          2.226 |          1.462 |          0.033 |
      strrchr LI-PaRAD/EMOPASS |          12 |          5.389 |          5.393 |          5.399 |          5.393 |          0.045 |          2.072 |          0.001 |     +41.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          13 |          7.201 |          7.596 |          7.897 |          7.571 |          2.554 |          1.600 |          0.041 |
      strrchr LI-PaRAD/EMOPASS |          13 |          5.390 |          5.393 |          5.399 |          5.393 |          0.045 |          2.245 |          0.001 |     +40.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          14 |          7.220 |          7.624 |          7.898 |          7.625 |          2.297 |          1.711 |          0.040 |
      strrchr LI-PaRAD/EMOPASS |          14 |          5.390 |          5.393 |          5.398 |          5.393 |          0.044 |          2.418 |          0.001 |     +41.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          15 |          7.224 |          7.598 |          7.898 |          7.606 |          2.373 |          1.838 |          0.044 |
      strrchr LI-PaRAD/EMOPASS |          15 |          5.390 |          5.393 |          5.398 |          5.393 |          0.046 |          2.590 |          0.001 |     +41.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          16 |          7.213 |          7.611 |          7.899 |          7.618 |          2.347 |          1.957 |          0.046 |
      strrchr LI-PaRAD/EMOPASS |          16 |          5.390 |          5.393 |          5.398 |          5.393 |          0.043 |          2.763 |          0.001 |     +41.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          17 |          7.141 |          7.590 |          7.897 |          7.567 |          2.438 |          2.093 |          0.051 |
      strrchr LI-PaRAD/EMOPASS |          17 |          5.389 |          5.393 |          5.402 |          5.393 |          0.049 |          2.936 |          0.001 |     +40.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          18 |          7.205 |          7.591 |          7.897 |          7.579 |          2.659 |          2.213 |          0.059 |
      strrchr LI-PaRAD/EMOPASS |          18 |          5.390 |          5.393 |          5.398 |          5.393 |          0.043 |          3.108 |          0.001 |     +40.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          19 |          7.203 |          7.567 |          7.897 |          7.574 |          2.218 |          2.338 |          0.052 |
      strrchr LI-PaRAD/EMOPASS |          19 |          5.390 |          5.393 |          5.398 |          5.393 |          0.044 |          3.281 |          0.001 |     +40.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          20 |          7.257 |          7.610 |          7.897 |          7.617 |          2.413 |          2.447 |          0.059 |
      strrchr LI-PaRAD/EMOPASS |          20 |          5.390 |          5.394 |          5.399 |          5.393 |          0.046 |          3.454 |          0.002 |     +41.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          21 |          7.246 |          7.590 |          7.946 |          7.596 |          2.454 |          2.576 |          0.063 |
      strrchr LI-PaRAD/EMOPASS |          21 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          3.626 |          0.002 |     +40.84%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          22 |          7.135 |          7.550 |          7.957 |          7.534 |          2.491 |          2.721 |          0.068 |
      strrchr LI-PaRAD/EMOPASS |          22 |          5.390 |          5.393 |          5.399 |          5.393 |          0.046 |          3.799 |          0.002 |     +39.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          23 |          7.225 |          7.636 |          7.897 |          7.617 |          2.193 |          2.814 |          0.062 |
      strrchr LI-PaRAD/EMOPASS |          23 |          5.390 |          5.393 |          5.399 |          5.393 |          0.047 |          3.972 |          0.002 |     +41.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          24 |          7.139 |          7.582 |          7.898 |          7.585 |          2.543 |          2.949 |          0.075 |
      strrchr LI-PaRAD/EMOPASS |          24 |          5.390 |          5.393 |          5.401 |          5.393 |          0.046 |          4.144 |          0.002 |     +40.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          25 |          7.081 |          7.567 |          7.911 |          7.552 |          2.447 |          3.085 |          0.076 |
      strrchr LI-PaRAD/EMOPASS |          25 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          4.317 |          0.002 |     +40.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          26 |          7.221 |          7.592 |          7.896 |          7.574 |          2.330 |          3.199 |          0.075 |
      strrchr LI-PaRAD/EMOPASS |          26 |          5.389 |          5.393 |          5.398 |          5.393 |          0.042 |          4.490 |          0.002 |     +40.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          27 |          7.253 |          7.612 |          7.898 |          7.600 |          2.398 |          3.311 |          0.080 |
      strrchr LI-PaRAD/EMOPASS |          27 |          5.390 |          5.393 |          5.398 |          5.393 |          0.044 |          4.663 |          0.002 |     +40.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          28 |          7.191 |          7.605 |          7.897 |          7.585 |          2.488 |          3.440 |          0.086 |
      strrchr LI-PaRAD/EMOPASS |          28 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          4.835 |          0.002 |     +40.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          29 |          7.176 |          7.570 |          7.897 |          7.575 |          2.528 |          3.568 |          0.090 |
      strrchr LI-PaRAD/EMOPASS |          29 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          5.008 |          0.002 |     +40.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          30 |          7.216 |          7.615 |          7.898 |          7.614 |          2.464 |          3.672 |          0.091 |
      strrchr LI-PaRAD/EMOPASS |          30 |          5.389 |          5.393 |          5.400 |          5.393 |          0.048 |          5.181 |          0.002 |     +41.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          31 |          7.205 |          7.590 |          7.957 |          7.579 |          2.337 |          3.812 |          0.089 |
      strrchr LI-PaRAD/EMOPASS |          31 |          5.390 |          5.393 |          5.398 |          5.393 |          0.048 |          5.353 |          0.003 |     +40.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          32 |         10.012 |         10.196 |         10.761 |         10.240 |          1.673 |          2.911 |          0.048 |
      strrchr LI-PaRAD/EMOPASS |          32 |          6.736 |          6.839 |          6.933 |          6.838 |          0.868 |          4.359 |          0.038 |     +49.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
