        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           1 |          2.479 |          2.503 |          2.529 |          2.498 |          0.497 |          0.373 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |           1 |          5.249 |          5.390 |          5.398 |          5.370 |          0.657 |          0.173 |          0.001 |     -53.48%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           2 |          3.077 |          3.082 |          3.091 |          3.082 |          0.077 |          0.604 |          0.000 |
      strrchr LI-PaRAD/EMOPASS |           2 |          5.207 |          5.390 |          5.399 |          5.366 |          0.777 |          0.347 |          0.003 |     -42.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           3 |          3.077 |          3.082 |          3.087 |          3.082 |          0.065 |          0.907 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |           3 |          5.389 |          5.393 |          5.398 |          5.393 |          0.042 |          0.518 |          0.000 |     -42.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.085 |          3.082 |          0.061 |          1.209 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |           4 |          5.389 |          5.393 |          5.399 |          5.393 |          0.044 |          0.691 |          0.000 |     -42.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           5 |          3.077 |          3.082 |          3.091 |          3.082 |          0.076 |          1.511 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |           5 |          5.220 |          5.383 |          5.416 |          5.362 |          0.860 |          0.869 |          0.008 |     -42.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           6 |          3.077 |          3.082 |          3.086 |          3.082 |          0.065 |          1.813 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |           6 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          1.036 |          0.000 |     -42.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           7 |          3.077 |          3.082 |          3.085 |          3.082 |          0.065 |          2.115 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |           7 |          5.221 |          5.389 |          5.398 |          5.362 |          0.851 |          1.216 |          0.010 |     -42.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           8 |          3.077 |          3.082 |          3.087 |          3.082 |          0.068 |          2.418 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |           8 |          5.210 |          5.376 |          5.398 |          5.357 |          0.905 |          1.391 |          0.013 |     -42.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |           9 |          2.474 |          2.497 |          2.511 |          2.493 |          0.464 |          3.363 |          0.016 |
      strrchr LI-PaRAD/EMOPASS |           9 |          5.389 |          5.393 |          5.404 |          5.393 |          0.050 |          1.554 |          0.001 |     -53.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          10 |          3.077 |          3.082 |          3.088 |          3.082 |          0.068 |          3.022 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          10 |          5.227 |          5.390 |          5.398 |          5.369 |          0.821 |          1.735 |          0.014 |     -42.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          11 |          3.077 |          3.082 |          3.085 |          3.082 |          0.063 |          3.324 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          11 |          5.389 |          5.393 |          5.399 |          5.393 |          0.047 |          1.900 |          0.001 |     -42.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          12 |          3.077 |          3.082 |          3.085 |          3.082 |          0.063 |          3.626 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          12 |          5.389 |          5.393 |          5.400 |          5.393 |          0.048 |          2.072 |          0.001 |     -42.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          13 |          3.077 |          3.082 |          3.085 |          3.082 |          0.060 |          3.929 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          13 |          5.222 |          5.390 |          5.397 |          5.360 |          0.894 |          2.259 |          0.020 |     -42.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          14 |          3.077 |          3.082 |          3.088 |          3.082 |          0.067 |          4.231 |          0.003 |
      strrchr LI-PaRAD/EMOPASS |          14 |          5.389 |          5.393 |          5.405 |          5.393 |          0.051 |          2.418 |          0.001 |     -42.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          15 |          3.077 |          3.082 |          3.106 |          3.082 |          0.104 |          4.533 |          0.005 |
      strrchr LI-PaRAD/EMOPASS |          15 |          5.244 |          5.386 |          5.398 |          5.365 |          0.747 |          2.604 |          0.020 |     -42.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          16 |          3.849 |          3.852 |          3.854 |          3.852 |          0.030 |          3.868 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |          16 |          5.240 |          5.390 |          5.397 |          5.365 |          0.751 |          2.778 |          0.021 |     -28.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          17 |          2.923 |          2.938 |          2.950 |          2.936 |          0.194 |          5.393 |          0.010 |
      strrchr LI-PaRAD/EMOPASS |          17 |          5.389 |          5.393 |          5.399 |          5.393 |          0.045 |          2.936 |          0.001 |     -45.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          18 |          3.849 |          3.852 |          3.856 |          3.852 |          0.034 |          4.352 |          0.001 |
      strrchr LI-PaRAD/EMOPASS |          18 |          5.202 |          5.370 |          5.398 |          5.363 |          0.779 |          3.126 |          0.025 |     -28.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          19 |          3.849 |          3.852 |          3.859 |          3.852 |          0.036 |          4.593 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          19 |          5.389 |          5.393 |          5.399 |          5.393 |          0.048 |          3.281 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          20 |          3.849 |          3.852 |          3.855 |          3.852 |          0.031 |          4.835 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          20 |          5.389 |          5.393 |          5.398 |          5.393 |          0.046 |          3.454 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          21 |          3.849 |          3.853 |          3.856 |          3.852 |          0.031 |          5.077 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          21 |          5.206 |          5.390 |          5.397 |          5.365 |          0.789 |          3.646 |          0.029 |     -28.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          22 |          3.849 |          3.852 |          3.855 |          3.852 |          0.030 |          5.319 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          22 |          5.389 |          5.393 |          5.399 |          5.393 |          0.045 |          3.799 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          23 |          3.849 |          3.853 |          3.856 |          3.852 |          0.035 |          5.560 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          23 |          5.223 |          5.374 |          5.414 |          5.364 |          0.792 |          3.994 |          0.032 |     -28.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          24 |          3.849 |          3.852 |          3.857 |          3.852 |          0.033 |          5.802 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          24 |          5.244 |          5.390 |          5.404 |          5.365 |          0.813 |          4.167 |          0.034 |     -28.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          25 |          3.849 |          3.852 |          3.854 |          3.852 |          0.025 |          6.044 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          25 |          5.223 |          5.389 |          5.398 |          5.366 |          0.741 |          4.340 |          0.033 |     -28.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          26 |          3.849 |          3.852 |          3.856 |          3.852 |          0.032 |          6.286 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          26 |          5.389 |          5.393 |          5.399 |          5.393 |          0.047 |          4.490 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          27 |          3.849 |          3.852 |          3.855 |          3.852 |          0.031 |          6.528 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          27 |          5.389 |          5.393 |          5.399 |          5.393 |          0.043 |          4.663 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          28 |          3.849 |          3.852 |          3.859 |          3.852 |          0.036 |          6.769 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          28 |          5.221 |          5.391 |          5.398 |          5.383 |          0.387 |          4.845 |          0.019 |     -28.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          29 |          3.849 |          3.852 |          3.855 |          3.852 |          0.031 |          7.011 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          29 |          5.241 |          5.390 |          5.398 |          5.364 |          0.786 |          5.036 |          0.040 |     -28.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          30 |          3.849 |          3.853 |          3.855 |          3.852 |          0.034 |          7.252 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          30 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          5.181 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          31 |          3.849 |          3.852 |          3.856 |          3.852 |          0.033 |          7.494 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          31 |          5.390 |          5.393 |          5.399 |          5.393 |          0.046 |          5.353 |          0.002 |     -28.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          32 |          3.467 |          3.488 |          3.495 |          3.486 |          0.183 |          8.550 |          0.016 |
      strrchr LI-PaRAD/EMOPASS |          32 |          6.736 |          6.844 |          6.937 |          6.852 |          0.835 |          4.350 |          0.036 |     -49.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          33 |          4.236 |          4.237 |          4.242 |          4.237 |          0.033 |          7.253 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          33 |          6.736 |          6.856 |          6.936 |          6.860 |          0.724 |          4.480 |          0.032 |     -38.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          34 |          4.236 |          4.237 |          4.242 |          4.238 |          0.034 |          7.472 |          0.003 |
      strrchr LI-PaRAD/EMOPASS |          34 |          6.738 |          6.839 |          6.935 |          6.839 |          0.749 |          4.630 |          0.035 |     -38.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          35 |          4.236 |          4.237 |          4.241 |          4.237 |          0.031 |          7.692 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          35 |          6.736 |          6.854 |          6.936 |          6.850 |          0.818 |          4.759 |          0.039 |     -38.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          36 |          4.235 |          4.237 |          4.242 |          4.237 |          0.032 |          7.912 |          0.003 |
      strrchr LI-PaRAD/EMOPASS |          36 |          6.737 |          6.872 |          6.938 |          6.865 |          0.754 |          4.884 |          0.037 |     -38.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          37 |          4.236 |          4.237 |          4.242 |          4.237 |          0.030 |          8.132 |          0.002 |
      strrchr LI-PaRAD/EMOPASS |          37 |          6.750 |          6.874 |          6.947 |          6.867 |          0.769 |          5.018 |          0.039 |     -38.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr GNU libc 2.39 |          38 |          4.236 |          4.237 |          4.242 |          4.238 |          0.033 |          8.351 |          0.003 |
      strrchr LI-PaRAD/EMOPASS |          38 |          6.737 |          6.851 |          6.936 |          6.846 |          0.827 |          5.169 |          0.043 |     -38.10%
