        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           1 |          7.181 |          7.557 |          7.914 |          7.546 |          2.352 |          0.123 |          0.003
         strrchr GNU libc 2.39 |           1 |          2.479 |          2.503 |          2.529 |          2.498 |          0.497 |          0.373 |          0.002
      strrchr LI-PaRAD/EMOPASS |           1 |          5.249 |          5.390 |          5.398 |          5.370 |          0.657 |          0.173 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           2 |          7.202 |          7.592 |          7.904 |          7.596 |          2.669 |          0.245 |          0.007
         strrchr GNU libc 2.39 |           2 |          3.077 |          3.082 |          3.091 |          3.082 |          0.077 |          0.604 |          0.000
      strrchr LI-PaRAD/EMOPASS |           2 |          5.207 |          5.390 |          5.399 |          5.366 |          0.777 |          0.347 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           3 |          7.212 |          7.572 |          7.898 |          7.569 |          2.492 |          0.369 |          0.009
         strrchr GNU libc 2.39 |           3 |          3.077 |          3.082 |          3.087 |          3.082 |          0.065 |          0.907 |          0.001
      strrchr LI-PaRAD/EMOPASS |           3 |          5.389 |          5.393 |          5.398 |          5.393 |          0.042 |          0.518 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           4 |          7.183 |          7.580 |          7.897 |          7.587 |          2.300 |          0.491 |          0.011
         strrchr GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.085 |          3.082 |          0.061 |          1.209 |          0.001
      strrchr LI-PaRAD/EMOPASS |           4 |          5.389 |          5.393 |          5.399 |          5.393 |          0.044 |          0.691 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           5 |          7.199 |          7.568 |          7.898 |          7.580 |          2.420 |          0.615 |          0.015
         strrchr GNU libc 2.39 |           5 |          3.077 |          3.082 |          3.091 |          3.082 |          0.076 |          1.511 |          0.001
      strrchr LI-PaRAD/EMOPASS |           5 |          5.220 |          5.383 |          5.416 |          5.362 |          0.860 |          0.869 |          0.008
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           6 |          7.195 |          7.584 |          7.897 |          7.579 |          2.493 |          0.738 |          0.018
         strrchr GNU libc 2.39 |           6 |          3.077 |          3.082 |          3.086 |          3.082 |          0.065 |          1.813 |          0.001
      strrchr LI-PaRAD/EMOPASS |           6 |          5.390 |          5.393 |          5.398 |          5.393 |          0.045 |          1.036 |          0.000
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           7 |          7.226 |          7.611 |          7.897 |          7.620 |          2.303 |          0.856 |          0.020
         strrchr GNU libc 2.39 |           7 |          3.077 |          3.082 |          3.085 |          3.082 |          0.065 |          2.115 |          0.001
      strrchr LI-PaRAD/EMOPASS |           7 |          5.221 |          5.389 |          5.398 |          5.362 |          0.851 |          1.216 |          0.010
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           8 |          7.252 |          7.598 |          7.897 |          7.574 |          2.353 |          0.984 |          0.023
         strrchr GNU libc 2.39 |           8 |          3.077 |          3.082 |          3.087 |          3.082 |          0.068 |          2.418 |          0.002
      strrchr LI-PaRAD/EMOPASS |           8 |          5.210 |          5.376 |          5.398 |          5.357 |          0.905 |          1.391 |          0.013
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |           9 |          7.123 |          7.565 |          7.898 |          7.546 |          2.366 |          1.111 |          0.026
         strrchr GNU libc 2.39 |           9 |          2.474 |          2.497 |          2.511 |          2.493 |          0.464 |          3.363 |          0.016
      strrchr LI-PaRAD/EMOPASS |           9 |          5.389 |          5.393 |          5.404 |          5.393 |          0.050 |          1.554 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          10 |          7.271 |          7.596 |          7.954 |          7.598 |          2.320 |          1.226 |          0.028
         strrchr GNU libc 2.39 |          10 |          3.077 |          3.082 |          3.088 |          3.082 |          0.068 |          3.022 |          0.002
      strrchr LI-PaRAD/EMOPASS |          10 |          5.227 |          5.390 |          5.398 |          5.369 |          0.821 |          1.735 |          0.014
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          11 |          7.196 |          7.591 |          7.898 |          7.581 |          2.461 |          1.352 |          0.033
         strrchr GNU libc 2.39 |          11 |          3.077 |          3.082 |          3.085 |          3.082 |          0.063 |          3.324 |          0.002
      strrchr LI-PaRAD/EMOPASS |          11 |          5.389 |          5.393 |          5.399 |          5.393 |          0.047 |          1.900 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          12 |          7.283 |          7.649 |          7.899 |          7.649 |          2.226 |          1.462 |          0.033
         strrchr GNU libc 2.39 |          12 |          3.077 |          3.082 |          3.085 |          3.082 |          0.063 |          3.626 |          0.002
      strrchr LI-PaRAD/EMOPASS |          12 |          5.389 |          5.393 |          5.400 |          5.393 |          0.048 |          2.072 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          13 |          7.201 |          7.596 |          7.897 |          7.571 |          2.554 |          1.600 |          0.041
         strrchr GNU libc 2.39 |          13 |          3.077 |          3.082 |          3.085 |          3.082 |          0.060 |          3.929 |          0.002
      strrchr LI-PaRAD/EMOPASS |          13 |          5.222 |          5.390 |          5.397 |          5.360 |          0.894 |          2.259 |          0.020
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          14 |          7.220 |          7.624 |          7.898 |          7.625 |          2.297 |          1.711 |          0.040
         strrchr GNU libc 2.39 |          14 |          3.077 |          3.082 |          3.088 |          3.082 |          0.067 |          4.231 |          0.003
      strrchr LI-PaRAD/EMOPASS |          14 |          5.389 |          5.393 |          5.405 |          5.393 |          0.051 |          2.418 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          15 |          7.224 |          7.598 |          7.898 |          7.606 |          2.373 |          1.838 |          0.044
         strrchr GNU libc 2.39 |          15 |          3.077 |          3.082 |          3.106 |          3.082 |          0.104 |          4.533 |          0.005
      strrchr LI-PaRAD/EMOPASS |          15 |          5.244 |          5.386 |          5.398 |          5.365 |          0.747 |          2.604 |          0.020
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          16 |          7.213 |          7.611 |          7.899 |          7.618 |          2.347 |          1.957 |          0.046
         strrchr GNU libc 2.39 |          16 |          3.849 |          3.852 |          3.854 |          3.852 |          0.030 |          3.868 |          0.001
      strrchr LI-PaRAD/EMOPASS |          16 |          5.240 |          5.390 |          5.397 |          5.365 |          0.751 |          2.778 |          0.021
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          17 |          7.141 |          7.590 |          7.897 |          7.567 |          2.438 |          2.093 |          0.051
         strrchr GNU libc 2.39 |          17 |          2.923 |          2.938 |          2.950 |          2.936 |          0.194 |          5.393 |          0.010
      strrchr LI-PaRAD/EMOPASS |          17 |          5.389 |          5.393 |          5.399 |          5.393 |          0.045 |          2.936 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          18 |          7.205 |          7.591 |          7.897 |          7.579 |          2.659 |          2.213 |          0.059
         strrchr GNU libc 2.39 |          18 |          3.849 |          3.852 |          3.856 |          3.852 |          0.034 |          4.352 |          0.001
      strrchr LI-PaRAD/EMOPASS |          18 |          5.202 |          5.370 |          5.398 |          5.363 |          0.779 |          3.126 |          0.025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          19 |          7.203 |          7.567 |          7.897 |          7.574 |          2.218 |          2.338 |          0.052
         strrchr GNU libc 2.39 |          19 |          3.849 |          3.852 |          3.859 |          3.852 |          0.036 |          4.593 |          0.002
      strrchr LI-PaRAD/EMOPASS |          19 |          5.389 |          5.393 |          5.399 |          5.393 |          0.048 |          3.281 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          20 |          7.257 |          7.610 |          7.897 |          7.617 |          2.413 |          2.447 |          0.059
         strrchr GNU libc 2.39 |          20 |          3.849 |          3.852 |          3.855 |          3.852 |          0.031 |          4.835 |          0.002
      strrchr LI-PaRAD/EMOPASS |          20 |          5.389 |          5.393 |          5.398 |          5.393 |          0.046 |          3.454 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          21 |          7.246 |          7.590 |          7.946 |          7.596 |          2.454 |          2.576 |          0.063
         strrchr GNU libc 2.39 |          21 |          3.849 |          3.853 |          3.856 |          3.852 |          0.031 |          5.077 |          0.002
      strrchr LI-PaRAD/EMOPASS |          21 |          5.206 |          5.390 |          5.397 |          5.365 |          0.789 |          3.646 |          0.029
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          22 |          7.135 |          7.550 |          7.957 |          7.534 |          2.491 |          2.721 |          0.068
         strrchr GNU libc 2.39 |          22 |          3.849 |          3.852 |          3.855 |          3.852 |          0.030 |          5.319 |          0.002
      strrchr LI-PaRAD/EMOPASS |          22 |          5.389 |          5.393 |          5.399 |          5.393 |          0.045 |          3.799 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          23 |          7.225 |          7.636 |          7.897 |          7.617 |          2.193 |          2.814 |          0.062
         strrchr GNU libc 2.39 |          23 |          3.849 |          3.853 |          3.856 |          3.852 |          0.035 |          5.560 |          0.002
      strrchr LI-PaRAD/EMOPASS |          23 |          5.223 |          5.374 |          5.414 |          5.364 |          0.792 |          3.994 |          0.032
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          24 |          7.139 |          7.582 |          7.898 |          7.585 |          2.543 |          2.949 |          0.075
         strrchr GNU libc 2.39 |          24 |          3.849 |          3.852 |          3.857 |          3.852 |          0.033 |          5.802 |          0.002
      strrchr LI-PaRAD/EMOPASS |          24 |          5.244 |          5.390 |          5.404 |          5.365 |          0.813 |          4.167 |          0.034
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
strrchr Arm optimized-routines |          25 |          7.081 |          7.567 |          7.911 |          7.552 |          2.447 |          3.085 |          0.076
         strrchr GNU libc 2.39 |          25 |          3.849 |          3.852 |          3.854 |          3.852 |          0.025 |          6.044 |          0.002
