      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |    32.0 KiB |       4348.186 |       4348.836 |       4354.748 |       4349.708 |       0.043 |       7.016 |            
      new_strchr_sve |    32.0 KiB |       3364.009 |       3364.627 |       3369.022 |       3365.058 |       0.039 |       9.069 |      +29.3%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |    64.0 KiB |       8682.302 |       8683.498 |       8697.528 |       8685.083 |       0.044 |       7.028 |            
      new_strchr_sve |    64.0 KiB |       6710.422 |       6712.793 |       6722.413 |       6713.138 |       0.036 |       9.092 |      +29.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |   512.0 KiB |      69436.496 |      69480.632 |      69942.000 |      69503.562 |       0.134 |       7.025 |            
      new_strchr_sve |   512.0 KiB |      52492.976 |      52943.540 |      53841.116 |      53036.015 |       0.705 |       9.207 |      +31.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |     1.0 MiB |     139030.440 |     139195.260 |     139680.490 |     139215.317 |       0.090 |       7.015 |            
      new_strchr_sve |     1.0 MiB |     106183.780 |     106999.360 |     108202.890 |     107027.376 |       0.385 |       9.124 |      +30.1%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |    16.0 MiB |    2224717.400 |    2226601.400 |    2236744.100 |    2227835.706 |       0.141 |       7.014 |            
      new_strchr_sve |    16.0 MiB |    1753466.200 |    1797661.000 |    1849158.300 |    1797599.668 |       1.071 |       8.692 |      +23.9%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |    32.0 MiB |    4441659.000 |    4448397.000 |    4458591.000 |    4448682.316 |       0.096 |       7.025 |            
      new_strchr_sve |    32.0 MiB |    3619513.600 |    3715132.400 |    3778017.200 |    3705970.348 |       1.116 |       8.432 |      +20.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strchr_sve |   256.0 MiB |   35489066.000 |   35547468.000 |   35625887.000 |   35544479.935 |       0.086 |       7.033 |            
      new_strchr_sve |   256.0 MiB |   30126260.000 |   30547294.000 |   30933515.000 |   30525925.806 |       0.675 |       8.190 |      +16.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
