      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |    32.0 KiB |       4342.208 |       4343.112 |       4356.141 |       4344.577 |       0.070 |       7.024 |            
      new_strcmp_sve |    32.0 KiB |       3322.089 |       3325.375 |       3328.747 |       3325.206 |       0.053 |       9.178 |      +30.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |    64.0 KiB |       8679.456 |       8681.574 |       8692.101 |       8682.291 |       0.035 |       7.030 |            
      new_strcmp_sve |    64.0 KiB |       6554.108 |       6595.929 |       6669.396 |       6598.705 |       0.383 |       9.250 |      +31.6%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |   512.0 KiB |      67641.572 |      68010.364 |      68394.412 |      67990.530 |       0.277 |       7.182 |            
      new_strcmp_sve |   512.0 KiB |      52498.028 |      53065.468 |      53901.772 |      53039.317 |       0.587 |       9.206 |      +28.2%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |     1.0 MiB |     135025.400 |     137910.100 |     138692.200 |     137367.557 |       0.768 |       7.109 |            
      new_strcmp_sve |     1.0 MiB |     107316.930 |     108097.390 |     109408.310 |     108123.930 |       0.478 |       9.032 |      +27.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |    16.0 MiB |    2164884.500 |    2192240.200 |    2240190.200 |    2191367.942 |       0.830 |       7.130 |            
      new_strcmp_sve |    16.0 MiB |    1813411.800 |    1870202.400 |    1949282.700 |    1872539.881 |       2.349 |       8.344 |      +17.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |    32.0 MiB |    4332373.400 |    4414734.000 |    4433818.800 |    4402010.071 |       0.584 |       7.099 |            
      new_strcmp_sve |    32.0 MiB |    3710172.800 |    3867481.400 |    3988758.600 |    3868260.619 |       1.813 |       8.079 |      +13.8%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp_sve |   256.0 MiB |   34692517.000 |   35096282.000 |   36052834.000 |   35071683.258 |       0.670 |       7.128 |            
      new_strcmp_sve |   256.0 MiB |   31399637.000 |   31788895.000 |   32226316.000 |   31791829.742 |       0.569 |       7.864 |      +10.3%
--------------------------------------------------------------------------------------------------------------------------------------------------
