      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |    32.0 KiB |       2713.260 |       2720.437 |       2727.796 |       2720.214 |       0.137 |      11.219 |            
      new_strcpy_sve |    32.0 KiB |       2140.839 |       2141.407 |       2148.109 |       2141.961 |       0.076 |      14.247 |      +27.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |    64.0 KiB |       5486.713 |       5500.126 |       5514.088 |       5499.761 |       0.135 |      11.098 |            
      new_strcpy_sve |    64.0 KiB |       4271.156 |       4272.525 |       4280.934 |       4272.871 |       0.039 |      14.284 |      +28.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |   512.0 KiB |      42898.332 |      43858.932 |      44244.244 |      43846.818 |       0.699 |      11.136 |            
      new_strcpy_sve |   512.0 KiB |      36164.596 |      37220.288 |      37925.052 |      37122.911 |       1.245 |      13.153 |      +18.1%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |     1.0 MiB |      84698.010 |      85809.190 |      87306.770 |      85847.904 |       0.757 |      11.375 |            
      new_strcpy_sve |     1.0 MiB |      70573.530 |      72393.470 |      73821.380 |      72366.360 |       1.204 |      13.495 |      +18.6%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |    16.0 MiB |    1374734.800 |    1401399.700 |    1432220.300 |    1401202.297 |       0.848 |      11.151 |            
      new_strcpy_sve |    16.0 MiB |    1140607.700 |    1182332.900 |    1218761.400 |    1183416.484 |       1.497 |      13.203 |      +18.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |    32.0 MiB |    2789276.800 |    2853058.200 |    2918665.400 |    2848241.761 |       1.213 |      10.972 |            
      new_strcpy_sve |    32.0 MiB |    2437433.400 |    2516976.800 |    2604214.600 |    2516825.994 |       1.524 |      12.416 |      +13.2%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strcpy_sve |   256.0 MiB |   22540856.000 |   23032927.000 |   23536400.000 |   23026475.323 |       1.203 |      10.857 |            
      new_strcpy_sve |   256.0 MiB |   20469830.000 |   20946916.000 |   21300649.000 |   20912210.419 |       0.884 |      11.955 |      +10.1%
--------------------------------------------------------------------------------------------------------------------------------------------------
