      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |    32.0 KiB |       2508.545 |       2509.032 |       2516.356 |       2509.930 |       0.081 |      12.159 |            
      new_strlen_sve |    32.0 KiB |       2373.827 |       2374.329 |       2379.744 |       2374.571 |       0.049 |      12.852 |       +5.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |    64.0 KiB |       5136.132 |       5195.689 |       5234.812 |       5191.335 |       0.460 |      11.757 |            
      new_strlen_sve |    64.0 KiB |       4738.251 |       4739.920 |       4747.316 |       4740.147 |       0.047 |      12.876 |       +9.5%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |   512.0 KiB |      41678.272 |      41687.344 |      41773.684 |      41694.489 |       0.047 |      11.711 |            
      new_strlen_sve |   512.0 KiB |      36157.216 |      36191.420 |      36239.872 |      36192.901 |       0.058 |      13.491 |      +15.2%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |     1.0 MiB |      82893.650 |      83296.930 |      84181.000 |      83343.912 |       0.340 |      11.717 |            
      new_strlen_sve |     1.0 MiB |      70686.550 |      70868.740 |      71523.630 |      70892.714 |       0.241 |      13.775 |      +17.6%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |    16.0 MiB |    1336403.900 |    1345200.900 |    1356934.200 |    1345560.223 |       0.343 |      11.612 |            
      new_strlen_sve |    16.0 MiB |    1152094.900 |    1165269.900 |    1177696.300 |    1164230.616 |       0.571 |      13.421 |      +15.6%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |    32.0 MiB |    2679407.200 |    2699619.800 |    2723737.200 |    2698325.142 |       0.382 |      11.581 |            
      new_strlen_sve |    32.0 MiB |    2323032.800 |    2358219.600 |    2415940.800 |    2357684.419 |       1.026 |      13.255 |      +14.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
          strlen_sve |   256.0 MiB |   21592526.000 |   21861846.000 |   22020713.000 |   21836483.645 |       0.453 |      11.449 |            
      new_strlen_sve |   256.0 MiB |   18670485.000 |   19137448.000 |   19964461.000 |   19131825.839 |       1.398 |      13.067 |      +14.1%
--------------------------------------------------------------------------------------------------------------------------------------------------
