      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |    32.0 KiB |       4353.049 |       4353.986 |       4362.280 |       4354.950 |       0.058 |       7.008 |            
     new_strncmp_sve |    32.0 KiB |       4249.903 |       4298.317 |       4338.127 |       4290.622 |       0.872 |       7.113 |       +1.5%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |    64.0 KiB |       8811.737 |       8816.500 |       8825.467 |       8817.195 |       0.036 |       6.922 |            
     new_strncmp_sve |    64.0 KiB |       8668.747 |       8673.797 |       8686.298 |       8674.377 |       0.043 |       7.036 |       +1.6%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |   512.0 KiB |      75309.120 |      76202.952 |      77243.660 |      76157.423 |       0.668 |       6.411 |            
     new_strncmp_sve |   512.0 KiB |      69236.204 |      69503.192 |      69935.460 |      69519.558 |       0.229 |       7.024 |       +9.5%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |     1.0 MiB |     150707.580 |     152471.200 |     153999.720 |     152409.561 |       0.550 |       6.407 |            
     new_strncmp_sve |     1.0 MiB |     138764.080 |     139233.860 |     140199.850 |     139273.359 |       0.223 |       7.012 |       +9.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |    16.0 MiB |    2435635.800 |    2452127.400 |    2472305.300 |    2452498.313 |       0.397 |       6.371 |            
     new_strncmp_sve |    16.0 MiB |    2215778.100 |    2228609.500 |    2242046.800 |    2228476.542 |       0.347 |       7.012 |      +10.1%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |    32.0 MiB |    4846071.800 |    4907028.400 |    4946920.600 |    4902995.819 |       0.503 |       6.374 |            
     new_strncmp_sve |    32.0 MiB |    4434275.800 |    4450265.400 |    4484997.400 |    4450712.406 |       0.235 |       7.021 |      +10.2%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strncmp_sve |   256.0 MiB |   38645988.000 |   39135097.000 |   39479699.000 |   39121152.290 |       0.409 |       6.390 |            
     new_strncmp_sve |   256.0 MiB |   35466636.000 |   35562100.000 |   35745792.000 |   35574326.903 |       0.204 |       7.028 |      +10.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
