      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |    32.0 KiB |       3291.292 |       3292.037 |       3297.915 |       3292.791 |       0.053 |       9.268 |            
     new_strnlen_sve |    32.0 KiB |       2766.541 |       2767.044 |       2771.161 |       2767.479 |       0.045 |      11.027 |      +19.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |    64.0 KiB |       6515.522 |       6546.539 |       6611.597 |       6549.287 |       0.320 |       9.319 |            
     new_strnlen_sve |    64.0 KiB |       5527.980 |       5529.716 |       5539.942 |       5530.221 |       0.043 |      11.037 |      +18.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |   512.0 KiB |      50964.152 |      51192.420 |      52104.048 |      51231.529 |       0.507 |       9.531 |            
     new_strnlen_sve |   512.0 KiB |      43537.828 |      43883.808 |      44430.596 |      43844.768 |       0.554 |      11.137 |      +16.8%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |     1.0 MiB |     101772.740 |     103043.810 |     105516.730 |     103103.259 |       1.024 |       9.472 |            
     new_strnlen_sve |     1.0 MiB |      87526.440 |      88096.130 |      89111.520 |      88189.686 |       0.443 |      11.073 |      +16.9%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |    16.0 MiB |    1647506.000 |    1656112.300 |    1662390.700 |    1655278.361 |       0.243 |       9.439 |            
     new_strnlen_sve |    16.0 MiB |    1489854.500 |    1499166.400 |    1510204.600 |    1498814.048 |       0.329 |      10.425 |      +10.4%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |    32.0 MiB |    3286569.000 |    3307082.000 |    3318513.800 |    3302993.955 |       0.254 |       9.461 |            
     new_strnlen_sve |    32.0 MiB |    2974072.600 |    2997786.600 |    3020034.600 |    2996167.594 |       0.336 |      10.430 |      +10.2%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strnlen_sve |   256.0 MiB |   26275334.000 |   26549733.000 |   26688083.000 |   26528996.806 |       0.405 |       9.424 |            
     new_strnlen_sve |   256.0 MiB |   23735148.000 |   23906546.000 |   24089621.000 |   23910139.355 |       0.380 |      10.456 |      +11.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
