      BENCHMARK NAME |        SIZE |     MINIMUM ns |      MEDIAN ns |     MAXIMUM ns |     AVERAGE ns |       ERR % |    BW GiB/s |   SPEEDUP %
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |    32.0 KiB |       3558.293 |       3558.768 |       3569.978 |       3559.928 |       0.070 |       8.573 |            
     new_strrchr_sve |    32.0 KiB |       2577.238 |       2577.546 |       2581.831 |       2577.848 |       0.039 |      11.838 |      +38.1%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |    64.0 KiB |       7105.417 |       7107.530 |       7115.981 |       7108.121 |       0.040 |       8.587 |            
     new_strrchr_sve |    64.0 KiB |       5139.229 |       5140.034 |       5153.101 |       5141.231 |       0.059 |      11.872 |      +38.3%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |   512.0 KiB |      55021.592 |      56814.796 |      57042.736 |      56003.291 |       1.593 |       8.719 |            
     new_strrchr_sve |   512.0 KiB |      39080.008 |      39747.572 |      40952.428 |      39806.918 |       1.220 |      12.266 |      +40.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |     1.0 MiB |     113893.370 |     114052.590 |     114648.520 |     114071.885 |       0.129 |       8.561 |            
     new_strrchr_sve |     1.0 MiB |      79404.550 |      80515.300 |      82397.200 |      80490.214 |       0.665 |      12.133 |      +41.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |    16.0 MiB |    1826409.200 |    1828139.500 |    1836471.300 |    1828926.129 |       0.136 |       8.543 |            
     new_strrchr_sve |    16.0 MiB |    1319464.300 |    1325492.800 |    1336338.200 |    1325454.203 |       0.301 |      11.788 |      +38.0%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |    32.0 MiB |    3649340.400 |    3652220.000 |    3672570.000 |    3653512.742 |       0.132 |       8.553 |            
     new_strrchr_sve |    32.0 MiB |    2638191.400 |    2656026.000 |    2679791.800 |    2655567.645 |       0.419 |      11.768 |      +37.6%
--------------------------------------------------------------------------------------------------------------------------------------------------
         strrchr_sve |   256.0 MiB |   29174892.000 |   29213355.000 |   29290967.000 |   29210945.710 |       0.079 |       8.558 |            
     new_strrchr_sve |   256.0 MiB |   21168816.000 |   21349728.000 |   21591518.000 |   21373886.000 |       0.458 |      11.697 |      +36.7%
--------------------------------------------------------------------------------------------------------------------------------------------------
